Date,Adj Close,SMA30,P_INDEX,SMA_P7
2000-04-19,56.619999,58.8876667,0,0.0
2000-04-20,56.419998,58.7346667,0,0.0
2000-04-24,56.720001,58.50533346666667,0,0.0
2000-04-25,56.299999,58.275000133333336,0,0.0
2000-04-26,56.599998,58.0496667,0,0.0
2000-04-27,56.450001,57.82400003333333,0,0.0
2000-04-28,55.709999,57.5963333,0,0.0
2000-05-01,56.299999,57.3833333,0,0.0
2000-05-02,57.75,57.27033333333333,0,0.0
2000-05-03,56.950001,57.12266666666666,0,0.0
2000-05-04,56.799999,57.0206666,0,0.0
2000-05-05,58.400002,56.9993333,0,0.0
2000-05-08,58.060001,56.9743333,0,0.0
2000-05-09,59.66,56.989333333333335,1,0.14285714285714285
2000-05-10,61.240002,57.059,1,0.2857142857142857
2000-05-11,60.799999,57.15399993333334,1,0.42857142857142855
2000-05-12,62.23,57.30933326666666,1,0.5714285714285714
2000-05-15,62.75,57.462999966666665,1,0.7142857142857143
2000-05-16,62.619999,57.60399996666667,1,0.8571428571428571
2000-05-17,62.07,57.766,1,1.0
2000-05-18,62.119999,57.95666656666666,1,1.0
2000-05-19,61.299999,58.143999866666675,1,1.0
2000-05-22,63.439999,58.38233313333333,1,1.0
2000-05-23,63.419998,58.62999966666666,1,1.0
2000-05-24,62.73,58.889332966666665,1,1.0
2000-05-25,63.279999,59.14033293333333,1,1.0
2000-05-26,63.220001,59.35366629999999,1,1.0
2000-05-30,61.009998,59.5063329,0,0.8571428571428571
2000-05-31,62.639999,59.6969996,1,0.8571428571428571
2000-06-01,60.25,59.79533296666666,0,0.7142857142857143
2000-06-02,58.990002,59.87433306666666,0,0.5714285714285714
2000-06-05,58.669998,59.94933306666667,0,0.42857142857142855
2000-06-06,57.599998,59.97866629999999,0,0.2857142857142857
2000-06-07,58.25,60.043666333333334,0,0.14285714285714285
2000-06-08,58.189999,60.09666636666667,0,0.14285714285714285
2000-06-09,58.389999,60.16133296666667,0,0.0
2000-06-12,56.650002,60.1926664,0,0.0
2000-06-13,56.98,60.215333099999995,0,0.0
2000-06-14,57.0,60.1903331,0,0.0
2000-06-15,57.91,60.22233306666667,0,0.0
2000-06-16,57.0,60.22899976666667,0,0.0
2000-06-19,56.110001,60.1526664,0,0.0
2000-06-20,56.639999,60.105333,0,0.0
2000-06-21,55.57,59.96899966666667,0,0.0
2000-06-22,55.009998,59.76133286666666,0,0.0
2000-06-23,54.16,59.539999566666665,-1,-0.14285714285714285
2000-06-26,53.09,59.235332899999996,-1,-0.2857142857142857
2000-06-27,52.310001,58.88733293333333,-1,-0.42857142857142855
2000-06-28,52.299999,58.54333293333333,-1,-0.5714285714285714
2000-06-29,52.299999,58.21766623333333,-1,-0.7142857142857143
2000-06-30,50.880001,57.84299963333333,-1,-0.8571428571428571
2000-07-05,50.650002,57.48799973333333,-1,-1.0
2000-07-06,50.049999,57.041666400000004,-1,-1.0
2000-07-07,51.73,56.651999800000006,0,-0.8571428571428571
2000-07-10,55.630001,56.41533316666667,0,-0.7142857142857143
2000-07-11,55.669998,56.16166646666667,0,-0.5714285714285714
2000-07-12,56.009998,55.92133303333333,0,-0.42857142857142855
2000-07-13,57.02,55.7883331,0,-0.2857142857142857
2000-07-14,57.02,55.600999800000004,0,-0.14285714285714285
2000-07-17,60.02,55.59333313333334,1,0.14285714285714285
2000-07-18,60.560001,55.64566643333333,1,0.2857142857142857
2000-07-19,60.080002,55.69266656666667,1,0.42857142857142855
2000-07-20,58.799999,55.7326666,1,0.5714285714285714
2000-07-21,59.130001,55.761999966666664,1,0.7142857142857143
2000-07-24,60.869999,55.85133329999999,1,0.8571428571428571
2000-07-25,59.700001,55.89500003333333,1,1.0
2000-07-26,59.150002,55.97833336666667,1,1.0
2000-07-27,58.23,56.02000003333333,1,1.0
2000-07-28,58.810001,56.0803334,1,1.0
2000-07-31,59.77,56.1423334,1,1.0
2000-08-01,59.009998,56.20933333333333,1,1.0
2000-08-02,58.639999,56.2936666,1,1.0
2000-08-03,58.889999,56.3686666,1,1.0
2000-08-04,58.599998,56.46966653333334,1,1.0
2000-08-07,60.68,56.6586666,1,1.0
2000-08-08,60.759998,56.87866653333333,1,1.0
2000-08-09,62.130001,57.1799999,1,1.0
2000-08-10,60.860001,57.464999899999995,1,1.0
2000-08-11,61.73,57.77933326666666,1,1.0
2000-08-14,62.25,58.11099996666667,1,1.0
2000-08-15,61.700001,58.47166663333334,1,1.0
2000-08-16,61.639999,58.83799986666667,1,1.0
2000-08-17,62.700001,59.259666599999996,1,1.0
2000-08-18,63.27,59.64433326666666,1,1.0
2000-08-21,64.339996,59.93466643333333,1,1.0
2000-08-22,64.0,60.21233316666667,1,1.0
2000-08-23,63.880001,60.4746666,1,1.0
2000-08-24,63.52,60.69133326666667,1,1.0
2000-08-25,64.730003,60.94833336666667,1,1.0
2000-08-28,64.839996,61.10899989999999,1,1.0
2000-08-29,65.199997,61.26366643333334,1,1.0
2000-08-30,64.75,61.41933303333334,1,1.0
2000-08-31,63.369999,61.57166636666667,0,0.8571428571428571
2000-09-01,63.490002,61.71699973333333,0,0.7142857142857143
2000-09-05,64.540001,61.839333133333334,1,0.7142857142857143
2000-09-06,64.360001,61.994666466666665,1,0.7142857142857143
2000-09-07,64.139999,62.160999700000005,0,0.5714285714285714
2000-09-08,64.720001,62.37733306666667,1,0.5714285714285714
2000-09-11,64.599998,62.57033296666667,1,0.5714285714285714
2000-09-12,63.18,62.683999633333336,0,0.5714285714285714
2000-09-13,62.470001,62.79933306666667,0,0.5714285714285714
2000-09-14,62.950001,62.9429998,0,0.42857142857142855
2000-09-15,63.16,63.08533316666667,0,0.2857142857142857
2000-09-18,62.990002,63.23166663333333,0,0.2857142857142857
2000-09-19,62.650002,63.29733336666667,0,0.14285714285714285
2000-09-20,63.139999,63.37666673333334,0,0.0
2000-09-21,63.900002,63.43566676666667,0,0.0
2000-09-22,63.450001,63.52200010000001,0,0.0
2000-09-25,63.880001,63.59366680000001,0,0.0
2000-09-26,63.549999,63.6370001,0,0.0
2000-09-27,62.5,63.66366673333333,0,0.0
2000-09-28,62.459999,63.69100006666667,0,0.0
2000-09-29,62.25,63.67600003333334,0,0.0
2000-10-02,63.529999,63.684666666666665,0,0.0
2000-10-03,63.950001,63.67166683333333,0,0.0
2000-10-04,63.400002,63.6516669,0,0.0
2000-10-05,63.599998,63.64233346666666,0,0.0
2000-10-06,64.209999,63.66533343333334,0,0.0
2000-10-09,64.779999,63.666999966666666,0,0.0
2000-10-10,64.57,63.6580001,0,0.0
2000-10-11,63.849998,63.61300013333334,0,0.0
2000-10-12,64.360001,63.60000016666666,0,0.0
2000-10-13,63.119999,63.591666833333335,0,0.0
2000-10-16,62.700001,63.565333466666665,0,0.0
2000-10-17,62.75,63.505666766666664,0,0.0
2000-10-18,62.02,63.42766673333333,0,0.0
2000-10-19,62.119999,63.360333399999995,0,0.0
2000-10-20,62.919998,63.300333300000005,0,0.0
2000-10-23,62.41,63.22733336666667,0,0.0
2000-10-24,62.700001,63.211333399999994,0,0.0
2000-10-25,63.259998,63.23766663333333,0,0.0
2000-10-26,62.880001,63.2353333,0,0.0
2000-10-27,63.139999,63.2346666,0,0.0
2000-10-30,63.990002,63.267999933333336,0,0.0
2000-10-31,62.970001,63.27866656666666,0,0.0
2000-11-01,62.57,63.259666599999996,0,0.0
2000-11-02,62.91,63.22666653333333,0,0.0
2000-11-03,63.75,63.23666649999999,0,0.0
2000-11-06,65.360001,63.28599983333333,1,0.14285714285714285
2000-11-07,65.889999,63.36399983333333,1,0.2857142857142857
2000-11-08,65.650002,63.4689999,1,0.42857142857142855
2000-11-09,64.959999,63.55233323333333,0,0.42857142857142855
2000-11-10,65.400002,63.6573333,0,0.42857142857142855
2000-11-13,65.32,63.717,0,0.42857142857142855
2000-11-14,64.82,63.745999966666666,0,0.42857142857142855
2000-11-15,64.739998,63.7906665,0,0.2857142857142857
2000-11-16,64.980003,63.836666666666666,0,0.14285714285714285
2000-11-17,64.699997,63.85299993333333,0,0.0
2000-11-20,64.580002,63.84633336666666,0,0.0
2000-11-21,63.16,63.799333366666666,0,0.0
2000-11-22,64.400002,63.817666833333334,0,0.0
